type;url;format;code
regions;https://data.ofgl.fr/api/explore/v2.1/catalog/datasets/ofgl-base-regions-consolidee/exports/parquet?lang=fr&timezone=Europe%2FBerlin;parquet;REG
departements;https://data.ofgl.fr/api/explore/v2.1/catalog/datasets/ofgl-base-departements-consolidee/exports/parquet?lang=fr&timezone=Europe%2FBerlin;parquet;DEP
groupements_fiscalite_propre;https://data.ofgl.fr/api/explore/v2.1/catalog/datasets/ofgl-base-gfp-consolidee/exports/parquet?lang=fr&timezone=Europe%2FBerlin;parquet;MET
communes;https://data.ofgl.fr/api/explore/v2.1/catalog/datasets/ofgl-base-communes-consolidee/exports/csv?lang=fr&timezone=Europe%2FBerlin&use_labels=true&delimiter=%3B;csv;COM
