year,community,communityLabel,regional,regionalLabel
2020,11520911,Budget de COMMUNE DE THONON LES BAINS,252352899,Moyenne départementale des collectivités coms
2021,10730982,Budget de COMMUNE DE THONON LES BAINS,447976452,Moyenne départementale des collectivités coms
2022,21390143,Budget de COMMUNE DE THONON LES BAINS,51000352,Moyenne départementale des collectivités coms
2023,43111458,Budget de COMMUNE DE THONON LES BAINS,519777228506,Moyenne départementale des collectivités coms
2024,38788716,Budget de COMMUNE DE THONON LES BAINS,192497299,Moyenne départementale des collectivités coms
2025,21265201,Budget de COMMUNE DE THONON LES BAINS,78072750,Moyenne départementale des collectivités coms
