year,community,communityLabel,regional,regionalLabel
2020,11520911,Budget de COMMUNE DE THONON LES BAINS,50578746634,Moyenne nationale des collectivités coms
2021,10730982,Budget de COMMUNE DE THONON LES BAINS,346080610,Moyenne nationale des collectivités coms
2022,21390143,Budget de COMMUNE DE THONON LES BAINS,117584280,Moyenne nationale des collectivités coms
2023,43111458,Budget de COMMUNE DE THONON LES BAINS,30194235056,Moyenne nationale des collectivités coms
2024,38788716,Budget de COMMUNE DE THONON LES BAINS,12261039333,Moyenne nationale des collectivités coms
2025,21265201,Budget de COMMUNE DE THONON LES BAINS,88113989,Moyenne nationale des collectivités coms
