year,community,communityLabel,regional,regionalLabel
2020,11520911,Budget de COMMUNE DE THONON LES BAINS,1636605673,Moyenne régionale des collectivités coms
2021,10730982,Budget de COMMUNE DE THONON LES BAINS,202503568,Moyenne régionale des collectivités coms
2022,21390143,Budget de COMMUNE DE THONON LES BAINS,209920162,Moyenne régionale des collectivités coms
2023,43111458,Budget de COMMUNE DE THONON LES BAINS,101240428554,Moyenne régionale des collectivités coms
2024,38788716,Budget de COMMUNE DE THONON LES BAINS,151466466,Moyenne régionale des collectivités coms
2025,21265201,Budget de COMMUNE DE THONON LES BAINS,62042181,Moyenne régionale des collectivités coms
